Movie,IMDB
Borderlands,tt4978420
Drive Angry,tt1502404
Planet of the Apes,tt0133152
Kate,tt7737528
The Adventures of Tintin,tt0983193
RocknRolla,tt1032755
Commando,tt0088944
Peppermint,tt6850820
Live Free or Die Hard,tt0337978
Fool's Gold,tt0770752
Terminator Genisys,tt1340138
The Road Warrior,tt0082694
Hellboy,tt2274648
Ghosted,tt15326988
Sky High,tt0405325
Captain Phillips,tt1535109
London Has Fallen,tt3300542
Sonic the Hedgehog 3,tt18259086
Robin Hood,tt4532826
Crimson Tide,tt0112740
Red Dawn,tt1234719
Spider-Man 2,tt0316654
Out of the Furnace,tt1206543
Dracula Untold,tt0829150
Snake Eyes,tt8404256
Atlantis: The Lost Empire,tt0230011
Big Trouble in Little China,tt0090728
Mortal Engines,tt1571234
Twister,tt0117998
John Carter,tt0401729
Behind Enemy Lines,tt0159273
X-Men Origins: Wolverine,tt0458525
Chronicle,tt1706593
S.W.A.T.,tt0257076
Pineapple Express,tt0910936
Savages,tt1615065
Outlaw King,tt6679794
I Saw the Devil,tt1588170
Point Break,tt2058673
The Fall Guy,tt1684562
47 Ronin,tt1335975
Alien³,tt0103644
Beverly Hills Cop: Axel Foley,tt3083016
The Lair,tt13468602
The Living Daylights,tt0093428
Damsel,tt13452446
The Lost World: Jurassic Park,tt0119567
Lethal Weapon 2,tt0097733
Harriet,tt4648786
Serenity,tt0379786
The Cloverfield Paradox,tt2548396
Jason Bourne,tt4196776
Rush Hour,tt0120812
Power Rangers,tt3717490
Awake,tt10418662
Fantastic Four,tt10676052
Teenage Mutant Ninja Turtles: Mutant Mayhem,tt8589698
I Am Number Four,tt1464540
Sucker Punch,tt0978764
Interceptor,tt14174940
Defiance,tt1034303
Argylle,tt15009428
Secret Headquarters,tt14001894
Patriot Games,tt0105112
300: Rise of an Empire,tt1253863
Batman Returns,tt0103776
The Amazing Spider-Man 2,tt1872181
xXx,tt0295701
Transformers: Dark of the Moon,tt1399103
End of Watch,tt1855199
Crocodile Dundee,tt0090555
Moonraker,tt0079574
Elysium,tt1535108
Run Hide Fight,tt11456054
Alexander,tt0346491
Rambo: First Blood Part II,tt0089880
The 355,tt8356942
The League of Extraordinary Gentlemen,tt0311429
X2: X-Men United,tt0290334
The Forever Purge,tt10327252
Kraven the Hunter,tt8790086
The Final Countdown,tt0080736
Transformers: Revenge of the Fallen,tt1055369
Blade,tt10671440
My Name Is Vendetta,tt15229674
A View to a Kill,tt0090264
